Time,Photoresistor,Humidity in %,Temperature in C°,CO2 in ppm,Soil Moisture in %

21:40:47,151,57.70,25.40,759,154

21:40:49,151,57.50,25.40,758,154

21:40:50,152,57.50,25.40,758,154

21:40:51,152,57.20,25.40,758,154

21:40:52,157,57.20,25.40,758,153

21:40:53,156,57.00,25.40,758,153

21:40:54,156,57.00,25.40,758,153

21:40:55,155,56.80,25.40,758,153

21:40:56,155,56.80,25.40,758,153

21:40:57,154,56.70,25.40,757,153

21:40:58,154,56.70,25.40,757,153

21:40:59,154,56.60,25.40,757,153

21:41:0,153,56.60,25.40,757,153

21:41:1,154,56.50,25.40,757,153

21:41:2,153,56.50,25.40,757,153

21:41:3,154,56.50,25.40,756,153

21:41:4,153,56.50,25.40,756,153

21:41:5,153,56.40,25.40,756,153

21:41:6,153,56.40,25.40,756,153

21:41:7,152,56.50,25.40,756,153

21:41:8,149,56.50,25.40,756,154

21:41:9,149,56.50,25.40,756,154

21:41:10,150,56.50,25.40,756,154

21:41:11,150,56.50,25.40,756,154

21:41:12,150,56.50,25.40,756,154

21:41:13,150,56.40,25.30,756,154

21:41:14,150,56.40,25.30,756,154

21:41:15,151,56.40,25.40,756,154

21:41:16,151,56.40,25.40,756,154

21:41:17,151,56.40,25.40,756,154

21:41:18,151,56.40,25.40,756,154

21:41:19,151,56.50,25.40,756,154

21:41:20,151,56.50,25.40,754,154

21:41:21,151,56.70,25.40,754,154

21:41:22,152,56.70,25.40,754,154

21:41:24,152,57.00,25.40,754,154

21:41:25,156,57.00,25.40,754,153

21:41:26,157,57.20,25.40,755,153

21:41:27,156,57.20,25.40,755,153

21:41:28,155,57.50,25.40,755,153

21:41:29,155,57.50,25.40,755,153

21:41:30,154,57.50,25.40,755,153

21:41:31,154,57.50,25.40,755,153

21:41:32,154,57.50,25.40,755,153

21:41:33,154,57.50,25.40,755,153

21:41:34,154,57.30,25.40,755,153

21:41:35,154,57.30,25.40,754,153

