Time,Photoresistor,Humidity in %,Temperature in C°,CO2 in ppm,Soil Moisture in %
22:17:56,151,55.00,25.40,670,153

22:17:57,151,55.00,25.40,670,153

22:17:58,151,55.00,25.40,670,153

22:17:59,152,55.00,25.40,670,153

22:18:0,151,54.90,25.40,670,153

22:18:1,151,54.90,25.40,670,153

22:18:2,152,54.90,25.40,670,153

22:18:3,152,54.90,25.40,670,153

22:18:4,152,54.90,25.40,671,153

22:18:5,152,54.90,25.40,671,153

22:18:7,152,54.90,25.40,671,153

22:18:8,152,54.90,25.40,671,153

22:18:9,152,54.90,25.40,671,153

22:18:10,153,54.90,25.40,671,153

22:18:11,153,54.90,25.40,671,152

22:18:12,157,54.90,25.40,671,152

22:18:13,157,54.90,25.40,670,152

22:18:14,157,54.90,25.40,670,152

22:18:15,156,54.90,25.40,670,152

22:18:16,156,54.90,25.40,670,152

22:18:17,156,54.90,25.40,670,152

22:18:18,155,54.90,25.40,670,152

22:18:19,156,54.90,25.40,670,152

22:18:20,155,54.90,25.40,670,152

22:18:21,156,54.90,25.40,670,152

22:18:22,155,54.90,25.40,670,152

22:18:23,155,54.80,25.40,671,152

22:18:24,155,54.80,25.40,671,152

22:18:25,155,54.80,25.40,671,152

22:18:26,155,54.80,25.40,671,152

22:18:27,155,54.80,25.40,671,153

22:18:28,152,54.80,25.40,672,153

22:18:29,152,54.80,25.40,672,153

22:18:30,151,54.80,25.40,672,153

22:18:31,152,54.80,25.40,672,153

22:18:32,152,54.80,25.40,672,153

22:18:33,152,54.80,25.40,672,153

22:18:34,152,54.80,25.40,672,153

22:18:35,152,54.80,25.40,672,153

22:18:36,153,54.80,25.40,672,153

22:18:37,153,54.80,25.40,672,153

22:18:38,153,54.80,25.40,672,153

22:18:39,153,54.80,25.40,672,153

22:18:40,153,54.80,25.40,673,153

22:18:42,153,54.80,25.40,673,153

22:18:43,153,54.80,25.40,673,153

22:18:44,153,54.80,25.40,673,151

22:18:45,157,54.80,25.40,673,152

22:18:46,158,54.80,25.40,673,152

22:18:47,157,54.80,25.40,673,152

22:18:48,156,54.80,25.40,673,152

22:18:49,156,54.80,25.40,673,152

22:18:50,156,54.80,25.40,673,152

22:18:51,156,54.80,25.40,673,152

22:18:52,156,54.80,25.40,673,152

22:18:53,156,54.80,25.40,673,152

22:18:54,156,54.80,25.40,673,152

22:18:55,156,54.80,25.40,673,152

22:18:56,155,54.80,25.40,673,152

22:18:57,155,54.80,25.40,673,152

22:18:58,155,54.80,25.40,673,152

22:18:59,155,54.80,25.40,673,152

22:19:0,155,54.70,25.30,673,153

22:19:1,152,54.70,25.30,673,153

22:19:2,152,54.80,25.40,673,153

22:19:3,152,54.80,25.40,673,153

22:19:4,152,54.80,25.40,673,153

22:19:5,152,54.80,25.40,673,153

22:19:6,153,54.80,25.40,673,153

22:19:7,152,54.80,25.40,673,153

22:19:8,153,54.80,25.40,673,153

22:19:9,153,54.80,25.40,673,153

22:19:10,153,54.80,25.40,673,153

22:19:11,153,54.80,25.40,673,153

22:19:12,153,54.80,25.40,673,153

22:19:13,153,54.80,25.40,673,153

22:19:14,153,54.80,25.40,673,153

22:19:15,153,54.80,25.40,674,153

22:19:17,153,54.80,25.40,674,151

22:19:18,157,54.80,25.40,674,152

22:19:19,158,54.80,25.40,674,152

22:19:20,157,54.80,25.40,674,152

22:19:21,156,54.80,25.40,674,152

22:19:22,156,54.80,25.40,674,152

22:19:23,155,54.70,25.30,674,152

22:19:24,156,54.70,25.30,674,153

22:19:25,155,54.80,25.40,674,152

22:19:26,155,54.80,25.40,674,153

22:19:27,155,54.80,25.40,674,152

22:19:28,155,54.80,25.40,674,153

22:19:29,155,54.80,25.40,674,152

22:19:30,155,54.80,25.40,674,152

22:19:31,155,54.80,25.40,674,152

22:19:32,155,54.80,25.40,674,152

22:19:33,154,54.80,25.40,674,153

22:19:34,152,54.80,25.40,674,153

22:19:35,151,54.80,25.30,674,153

22:19:36,152,54.80,25.30,674,153

22:19:37,151,54.80,25.40,674,153

22:19:38,152,54.80,25.40,674,153

22:19:39,152,54.80,25.40,674,153

22:19:40,153,54.80,25.40,674,153

22:19:41,152,54.80,25.40,673,153

22:19:42,152,54.80,25.40,673,153

22:19:43,153,54.80,25.40,673,153

22:19:44,153,54.80,25.40,673,153

22:19:45,153,54.80,25.40,673,153

22:19:46,154,54.80,25.40,673,153

22:19:47,154,54.90,25.40,673,153

22:19:48,154,54.90,25.40,673,153

22:19:49,153,54.90,25.40,673,151

22:19:50,157,54.90,25.40,673,151

22:19:52,158,54.90,25.40,673,152

22:19:53,157,54.90,25.40,673,152

22:19:54,157,54.90,25.40,673,152

22:19:55,157,54.90,25.40,673,152

22:19:56,156,54.90,25.40,673,152

22:19:57,156,54.90,25.40,673,152

22:19:58,156,54.90,25.40,673,152

22:19:59,156,54.90,25.40,673,152

22:20:0,155,54.90,25.40,673,152

22:20:1,155,54.90,25.40,673,152

22:20:2,155,54.90,25.40,674,152

22:20:3,155,54.90,25.40,674,152

22:20:4,155,54.90,25.40,674,152

22:20:5,155,54.90,25.40,674,152

22:20:6,155,55.00,25.40,674,153

22:20:7,152,55.00,25.40,674,153

22:20:8,151,55.00,25.40,674,153

22:20:9,151,55.00,25.40,674,153

22:20:10,152,55.00,25.40,673,153

22:20:11,152,55.00,25.40,673,153

22:20:12,152,55.00,25.40,673,153

22:20:13,152,55.00,25.40,673,153

