Time,Photoresistor,Humidity in %,Temperature in C°,CO2 in ppm,Soil Moisture in %

21:21:35,149,59.40,25.50,768,155

21:21:36,149,59.50,25.50,769,155

21:21:37,149,59.50,25.50,769,155

21:21:38,149,59.60,25.50,769,155

21:21:39,149,59.60,25.50,769,155

21:21:40,149,59.50,25.40,769,155

21:21:41,150,59.50,25.40,769,155

21:21:42,150,59.40,25.50,769,155

21:21:43,150,59.40,25.50,769,155

21:21:44,150,59.20,25.50,769,155

21:21:45,150,59.20,25.50,769,155

21:21:46,150,59.00,25.50,769,155

21:21:48,150,59.00,25.50,769,155

21:21:49,150,58.80,25.50,769,155

21:21:50,150,58.80,25.50,769,153

21:21:51,154,58.70,25.40,769,153

21:21:52,154,58.70,25.40,769,153

21:21:53,154,58.70,25.50,769,153

21:21:54,153,58.70,25.50,769,154

21:21:55,153,58.70,25.50,769,154

21:21:56,153,58.70,25.50,769,154

21:21:57,153,58.70,25.50,769,153

21:21:58,153,58.70,25.50,769,154

21:21:59,153,58.60,25.50,769,154

21:22:0,152,58.60,25.50,769,154

21:22:1,152,58.40,25.50,769,154

21:22:2,151,58.40,25.50,770,154

21:22:3,151,58.20,25.50,770,154

21:22:4,152,58.20,25.50,770,154

21:22:5,151,58.10,25.50,770,154

21:22:6,151,58.10,25.50,770,155

21:22:7,150,57.90,25.40,770,155

21:22:8,149,57.90,25.40,770,155

21:22:9,149,57.90,25.50,770,155

21:22:10,149,57.90,25.50,770,155

21:22:11,149,57.90,25.40,770,155

21:22:12,149,57.90,25.40,770,155

21:22:13,149,58.20,25.40,770,155

21:22:14,149,58.20,25.40,770,155

21:22:15,150,58.70,25.50,770,155

21:22:16,150,58.70,25.50,770,155

21:22:17,150,59.20,25.50,770,155

21:22:18,150,59.20,25.50,770,155

21:22:19,150,59.50,25.50,770,155

21:22:20,150,59.50,25.50,770,155

21:22:21,150,59.60,25.40,770,155

21:22:23,150,59.60,25.40,770,153

21:22:24,153,59.70,25.50,770,153

21:22:25,154,59.70,25.50,770,153

21:22:26,154,59.70,25.40,772,154

21:22:27,153,59.70,25.40,772,154

